No,Title,Pertanyaan,Context
11,Oli Mesin Motor,Kapan waktu yang tepat ganti oli mesin motor?,Oli mesin berfungsi melumasi komponen mesin agar tidak aus akibat gesekan. Umumnya oli mesin motor diganti setiap 2000–3000 km atau sebulan sekali tergantung pemakaian. Penggantian rutin menjaga performa mesin tetap optimal dan mencegah keausan dini.
12,Kampas Rem Motor,Bagaimana ciri kampas rem motor yang harus diganti?,"Kampas rem yang menipis bisa menyebabkan pengereman kurang pakem dan berbahaya. Ciri-ciri kampas rem habis yaitu suara berdecit, rem terasa dalam saat ditekan, atau motor sulit berhenti. Segera ganti jika ketebalan kampas tinggal 1-2 mm"
13,Aki Motor,Apa tanda aki motor mulai soak?,"Aki soak biasanya ditandai starter motor lemah atau tidak bisa distarter sama sekali. Selain itu, lampu redup dan klakson pelan juga menjadi indikator. Aki motor sebaiknya dicek tiap 6 bulan untuk mencegah mati total di jalan"
14,Rantai Motor,Seberapa sering rantai motor harus disetel ulang?,Rantai motor harus disetel setiap 500–1000 km agar tegangan ideal terjaga. Rantai kendor bisa menyebabkan loncat gigi dan rantai lepas. Rantai terlalu kencang pun mempercepat aus gear set
15,Radiator Motor,Kenapa air radiator motor cepat habis?,"Air radiator cepat habis bisa karena bocor pada selang, tutup radiator rusak, atau water pump bermasalah. Jika dibiarkan, mesin motor bisa overheat dan rusak parah"
16,Velg Motor,Apa perbedaan velg racing dan velg jari-jari?,"Velg racing lebih kuat, cocok untuk kecepatan tinggi, dan tahan banting. Velg jari-jari lebih fleksibel di jalan rusak, sering dipakai motor trail atau bebek harian"
17,Busi Motor,Bagaimana tanda busi motor rusak?,"Motor susah nyala, brebet, dan konsumsi bensin boros bisa jadi tanda busi rusak. Ganti busi tiap 8000–10.000 km untuk performa mesin maksimal"
18,CVT Motor Matic,Kapan harus servis CVT motor matic?,"CVT sebaiknya diservis setiap 8000–12.000 km. Gejala masalah CVT meliputi tarikan berat, suara kasar, dan motor tersendat"
19,Suspensi Motor,Apa ciri suspensi motor rusak?,"Suspensi rusak ditandai rembesan oli di shockbreaker, motor limbung, dan bunyi ‘jedug’ di jalan rusak. Segera ganti jika gejala muncul untuk kenyamanan berkendara"
20,Filter Udara,Kenapa filter udara motor harus rutin dibersihkan?,"Filter udara kotor bikin mesin ngos-ngosan, tenaga lemah, dan boros bensin. Bersihkan tiap 4000 km atau ganti tiap 8000 km agar pembakaran tetap sempurna"
21,Ban Motor,Apa beda ban tubeless dan ban biasa?,"Ban tubeless tanpa ban dalam, lebih tahan bocor kecil. Ban biasa pakai inner tube, lebih murah tapi rentan bocor"
22,Rem Cakram,Bagaimana cara merawat rem cakram motor?,Rem cakram harus dibersihkan dari debu dan oli. Ganti minyak rem setiap 2 tahun agar sistem rem responsif.
23,Mesin Motor,Kenapa mesin motor cepat panas?,"Mesin cepat panas bisa karena oli habis, radiator bocor, atau sirkulasi udara terganggu. Segera cek ke bengkel jika overheat."
24,Knalpot Motor,Apa efek knalpot bocor?,"Knalpot bocor membuat suara motor berisik, tenaga berkurang, dan pembakaran tidak sempurna"
25,ECU Motor,Apakah ECU motor bisa rusak?,"ECU rusak bisa menyebabkan mesin mati tiba-tiba, susah nyala, atau konsumsi BBM boros. Perlu alat scanner untuk cek kerusakan ECU"
26,Spakbor Motor,Apakah spakbor motor bisa diganti model lain?,Spakbor bisa diganti model variasi asalkan sesuai dudukan motor. Spakbor variasi bikin motor lebih keren tapi harus tetap fungsional menahan cipratan air
27,Lampu Motor,Bolehkah ganti lampu LED di motor lama?,"Boleh, asal daya lampu sesuai agar aki tidak tekor. LED lebih terang dan awet dibanding lampu halogen biasa"
28,Kick Starter Motor,Kenapa kick starter motor macet?,"Kick starter macet karena pegas lemah, gigi aus, atau kotoran menumpuk. Harus dibongkar dan dibersihkan di bengkel"
29,Box Motor,Apakah semua motor bisa dipasang box belakang?,"Tidak semua motor cocok box belakang, tergantung dudukan rangka. Perlu bracket tambahan jika tidak ada dudukan standar"
30,Fuel Pump Motor,Apa gejala fuel pump motor rusak?,"Fuel pump rusak bikin motor sulit hidup, brebet, atau mati mendadak. Suara dengung fuel pump sebelum starter bisa hilang jika rusak"
31,Alat Berat Excavator,Untuk apa fungsi utama excavator di pertambangan?,"Excavator adalah alat berat yang berfungsi untuk menggali material seperti tanah, batu, atau pasir dalam kegiatan tambang terbuka. Excavator juga digunakan untuk memindahkan material hasil galian ke dump truck. Alat ini dilengkapi bucket besar di ujung lengan hidrauliknya yang dapat berputar 360 derajat, sehingga memudahkan proses penggalian di berbagai medan sulit"
32,Dump Truck Tambang,Mengapa dump truck di tambang ukurannya sangat besar?,"Dump truck tambang dirancang berukuran sangat besar untuk mengangkut material hasil tambang seperti batu bara atau bijih dalam jumlah besar sekaligus, sehingga menghemat waktu dan biaya operasional. Kapasitas dump truck tambang bisa mencapai 400 ton. Ukuran besar juga meningkatkan efisiensi pengangkutan jarak jauh dari pit tambang ke area pemrosesan"
33,Drilling (Pengeboran),Apa tujuan utama proses drilling di pertambangan?,Drilling atau pengeboran adalah kegiatan penting dalam eksplorasi tambang untuk mengetahui kandungan mineral di bawah permukaan tanah. Proses ini dilakukan menggunakan mesin bor khusus yang bisa mencapai kedalaman ratusan meter. Sampel dari pengeboran akan dianalisis untuk menentukan nilai ekonomis cadangan mineral di lokasi tersebut
34,Blasting (Peledakan),Kenapa harus dilakukan peledakan di tambang?,"Blasting adalah proses peledakan batuan di tambang terbuka untuk memecahkan batu menjadi ukuran lebih kecil agar mudah diangkut atau diolah. Peledakan dilakukan setelah pengeboran lubang di batuan keras, lalu diisi bahan peledak khusus. Proses ini harus sesuai prosedur keselamatan tinggi agar tidak menimbulkan risiko kecelakaan"
35,Belt Conveyor,Apa fungsi belt conveyor dalam proses tambang?,"Belt conveyor adalah alat pemindah material tambang seperti batu bara atau bijih dari satu titik ke titik lain secara otomatis. Conveyor mengurangi kebutuhan alat angkut manual seperti dump truck, mempercepat proses produksi, dan menghemat biaya operasional tambang dalam jangka panjang"
36,Smelter,Mengapa hasil tambang harus diolah di smelter?,"Smelter adalah fasilitas pengolahan mineral mentah (ore) menjadi logam murni seperti nikel, tembaga, atau alumunium. Smelter memisahkan mineral berharga dari unsur pengotor agar bisa digunakan untuk industri. Pembangunan smelter diwajibkan pemerintah untuk meningkatkan nilai tambah produk tambang di dalam negeri"
37,Safety Helmet Tambang,Kenapa helm keselamatan wajib dipakai di area tambang?,"Safety helmet melindungi kepala pekerja tambang dari risiko benturan benda keras, jatuhan batu, atau material lainnya. Helm tambang biasanya berwarna cerah untuk memudahkan identifikasi pekerja dan dilengkapi lampu untuk penerangan di area gelap seperti tambang bawah tanah"
38,Ventilasi Tambang Bawah Tanah,Mengapa tambang bawah tanah harus memiliki sistem ventilasi?,"Sistem ventilasi diperlukan untuk menyediakan udara segar, mengurangi kadar gas berbahaya, serta mengontrol suhu di dalam tambang bawah tanah. Tanpa ventilasi yang baik, risiko kecelakaan seperti sesak napas, ledakan gas, atau overheating alat berat meningkat drastis"
39,Survey Topografi Tambang,Apa pentingnya survey topografi sebelum kegiatan tambang?,"Survey topografi dilakukan untuk memetakan kontur dan bentuk permukaan tanah sebelum kegiatan tambang dimulai. Data topografi digunakan untuk menentukan lokasi pit tambang, jalan angkut, serta lokasi fasilitas pendukung lainnya. Survey ini memastikan operasi tambang berjalan efektif dan aman sesuai rencana desain."
40,Alat Deteksi Gas Tambang,Mengapa perlu alat deteksi gas di tambang bawah tanah?,"Alat deteksi gas digunakan untuk memantau kandungan gas berbahaya seperti metana, karbon monoksida, atau hidrogen sulfida yang bisa menyebabkan ledakan atau keracunan di tambang bawah tanah. Sensor gas akan memberi alarm otomatis jika gas berbahaya melebihi batas aman, sehingga pekerja bisa segera dievakuasi"
